id,localTime,utcTime,mag,magType,depth_km,lat,lon,place,status,dist_from_epicenter_km
SGC2026pqwuff,2026-08-10 10:44,2026-08-10 15:44,2.1,MLr_1,75.0,4.538842712656848,-76.62902719328429,"Sipí - Chocó, Colombia",manual,58.4
SGC2026pqwxxq,2026-08-10 10:48,2026-08-10 15:48,2.4,MLr_1,86.0,4.851870160922684,-76.40247703117453,"San José del Palmar - Chocó, Colombia",manual,20.3
SGC2026pqxcfj,2026-08-10 10:53,2026-08-10 15:53,2.1,MLr_1,79.0,4.873020664183889,-76.37059517194743,"San José del Palmar - Chocó, Colombia",manual,16.7
SGC2026pqxgrw,2026-08-10 10:58,2026-08-10 15:58,1.7,MLr_1,80.0,4.844467484781262,-76.33953128045695,"San José del Palmar - Chocó, Colombia",manual,13.5
SGC2026pqxnkh,2026-08-10 11:06,2026-08-10 16:06,1.5,MLr_1,38.0,5.63020868093503,-76.04587539235548,"Bagadó - Chocó, Colombia",manual,86.7
SGC2026pqybpp,2026-08-10 11:23,2026-08-10 16:23,2.0,MLr_1,80.0,4.364351060751907,-76.74004708677145,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,80.5
SGC2026pqyhof,2026-08-10 11:29,2026-08-10 16:29,1.7,MLr_1,60.0,4.093624619008481,-76.73874057439664,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,103.7
SGC2026pqyiwi,2026-08-10 11:31,2026-08-10 16:31,2.3,MLr_1,95.0,4.3802139381978105,-76.71135645216678,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,77.0
SGC2026pqyklq,2026-08-10 11:33,2026-08-10 16:33,1.6,MLr_1,83.0,4.899458793260395,-76.31847784773286,"San José del Palmar - Chocó, Colombia",manual,11.4
SGC2026pqyqzn,2026-08-10 11:40,2026-08-10 16:40,2.3,MLr_1,82.0,4.813799255052515,-76.39588870381606,"San José del Palmar - Chocó, Colombia",manual,20.5
SGC2026pqytfp,2026-08-10 11:43,2026-08-10 16:43,2.1,MLr_1,83.0,4.858215311901045,-76.38971383449991,"San José del Palmar - Chocó, Colombia",manual,18.8
SGC2026pqyuag,2026-08-10 11:44,2026-08-10 16:44,1.6,MLr_2,87.0,4.407709592437377,-76.07000952661778,"Zarzal - Valle del Cauca, Colombia",manual,54.0
SGC2026pqzirp,2026-08-10 12:01,2026-08-10 17:01,1.2,MLr_2,2.0,4.894833333333334,-75.3035,"Villahermosa - Tolima, Colombia",manual,101.6
SGC2026pqzkxc,2026-08-10 12:03,2026-08-10 17:03,1.6,MLr_1,91.0,4.803166666666667,-76.46533333333333,"San José del Palmar - Chocó, Colombia",manual,28.2
SGC2026pqzmjp,2026-08-10 12:05,2026-08-10 17:05,1.7,MLr_1,46.0,4.559993215918054,-76.54600062542542,"Sipí - Chocó, Colombia",manual,49.9
SGC2026pqzrpi,2026-08-10 12:11,2026-08-10 17:11,1.8,M,86.0,4.781015974997647,-76.47142198168014,"San José del Palmar - Chocó, Colombia",manual,29.6
SGC2026pqzzxm,2026-08-10 12:21,2026-08-10 17:21,2.5,MLr_1,87.0,4.856100261574925,-76.4216911070985,"San José del Palmar - Chocó, Colombia",manual,22.4
SGC2026pragdj,2026-08-10 12:28,2026-08-10 17:28,2.6,MLr_1,79.0,4.430975146024703,-76.72013475649504,"Istmina - Chocó, Colombia",manual,73.9
SGC2026prakkc,2026-08-10 12:33,2026-08-10 17:33,2.7,MLr_1,86.0,4.83600728347678,-76.39493357919095,"San José del Palmar - Chocó, Colombia",manual,19.7
SGC2026prchij,2026-08-10 13:30,2026-08-10 18:30,2.4,MLr_1,46.0,4.591718970809861,-76.76146089472383,"Medio San Juan (Andagoya) - Chocó, Colombia",manual,67.5
