time_utc,lat,lon,depth_km,mag,mag_type,region
2026-08-13 11:22:51,4.855,-76.538,94.1,3.6,MLr_1,"Novita - Choco, Colombia"
2026-08-13 11:48:25,4.472,-76.798,44.21,2.3,MLr_1,"Istmina - Choco, Colombia"
2026-08-13 12:51:07,4.526,-76.689,45.94,2.4,MLr_1,"Istmina - Choco, Colombia"
2026-08-13 14:35:34,4.444,-76.761,43.17,2.6,MLr_1,"Istmina - Choco, Colombia"
2026-08-13 14:42:32,4.859,-76.407,95.05,4.2,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-13 16:22:21,4.49,-76.646,43.17,2.3,MLr_1,"Sipi - Choco, Colombia"
2026-08-13 17:58:01,4.456,-76.774,42.94,2.7,MLr_1,"Istmina - Choco, Colombia"
2026-08-13 20:05:21,4.803,-76.36,84.75,2.1,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-13 20:45:17,4.564,-76.67,40.63,2.6,MLr_1,"Sipi - Choco, Colombia"
2026-08-13 21:10:45,4.805,-76.473,79.21,2.3,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-13 21:42:20,4.497,-76.691,42.01,2.5,MLr_1,"Istmina - Choco, Colombia"
2026-08-14 00:00:27,4.619,-76.642,36.93,2.2,MLr_1,"Sipi - Choco, Colombia"
2026-08-14 00:59:23,4.478,-76.592,45.94,2.1,MLr_1,"Sipi - Choco, Colombia"
2026-08-14 01:09:41,4.378,-76.684,45.94,2.8,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-14 02:26:45,4.326,-76.676,49.98,3.1,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-14 02:52:46,4.613,-76.476,50.1,2.1,MLr_1,"Sipi - Choco, Colombia"
2026-08-14 03:21:44,4.866,-76.402,91.05,3.9,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-14 03:25:20,4.286,-76.806,46.06,2.1,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-14 04:21:48,4.461,-76.682,43.4,2.3,MLr_1,"Istmina - Choco, Colombia"
2026-08-14 04:22:54,4.507,-76.648,42.94,2.3,MLr_1,"Sipi - Choco, Colombia"
2026-08-14 04:38:19,4.406,-76.773,43.17,2.1,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-14 04:41:09,4.53,-76.672,43.63,2.2,MLr_1,"Sipi - Choco, Colombia"
2026-08-14 06:07:15,4.442,-76.75,42.01,2.8,MLr_1,"Istmina - Choco, Colombia"
2026-08-14 06:11:39,4.657,-76.653,42.94,2.2,MLr_1,"Sipi - Choco, Colombia"
2026-08-14 07:29:55,4.571,-76.651,41.78,2.5,MLr_1,"Sipi - Choco, Colombia"
2026-08-14 07:38:14,4.395,-76.76,42.94,2.5,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-14 07:45:15,4.387,-76.694,86.6,2.5,MLr_1,"Istmina - Choco, Colombia"
2026-08-14 08:44:25,4.575,-76.695,24.28,3.1,MLr_1,"Sipi - Choco, Colombia"
2026-08-14 10:01:40,4.892,-76.401,89.38,3.2,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-14 12:55:15,4.392,-76.777,50.17,2.5,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-14 13:08:09,4.47,-76.745,27.39,3.2,MLr_1,"Istmina - Choco, Colombia"
2026-08-14 13:10:12,4.571,-76.732,40.17,2.2,MLr_1,"Medio San Juan (Andagoya) - Choco, Colombia"
2026-08-14 13:11:26,4.489,-76.687,45.59,2.2,MLr_1,"Istmina - Choco, Colombia"
2026-08-14 13:19:03,4.412,-76.795,45.71,2.1,MLr_1,"Istmina - Choco, Colombia"
2026-08-14 17:17:30,4.499,-76.689,40.17,2.3,MLr_1,"Istmina - Choco, Colombia"
2026-08-14 21:48:26,4.552,-76.727,42.01,2.1,MLr_1,"Istmina - Choco, Colombia"
2026-08-14 22:15:27,4.562,-76.672,40.17,2.5,MLr_1,"Sipi - Choco, Colombia"
2026-08-14 22:20:46,4.988,-76.237,100.88,2.4,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-14 22:28:07,4.56,-76.633,38.32,2.8,MLr_1,"Sipi - Choco, Colombia"
2026-08-14 22:41:32,4.871,-76.328,89.37,2.8,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-14 22:57:33,4.956,-76.269,83.83,2.3,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-14 23:13:21,4.587,-76.727,36.93,2.3,MLr_1,"Medio San Juan (Andagoya) - Choco, Colombia"
2026-08-15 00:13:52,4.786,-76.302,80.83,2.2,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-15 00:33:37,4.467,-76.761,40.17,2.2,MLr_1,"Istmina - Choco, Colombia"
2026-08-15 01:14:53,4.583,-76.634,40.17,2.2,MLr_1,"Sipi - Choco, Colombia"
2026-08-15 05:39:09,4.556,-76.723,39.93,2.5,MLr_1,"Medio San Juan (Andagoya) - Choco, Colombia"
2026-08-15 05:56:31,4.446,-76.705,44.09,2.5,MLr_1,"Istmina - Choco, Colombia"
2026-08-15 06:30:39,4.575,-76.653,39.93,2.2,MLr_1,"Sipi - Choco, Colombia"
2026-08-15 06:41:55,4.956,-76.055,109.62,2.1,M,"El Aguila - Valle del Cauca, Colombia"
2026-08-15 08:12:57,4.571,-76.732,37.62,2.3,MLr_1,"Medio San Juan (Andagoya) - Choco, Colombia"
2026-08-15 09:00:39,4.478,-76.669,43.86,2.5,MLr_1,"Istmina - Choco, Colombia"
2026-08-15 09:04:16,4.414,-76.767,37.16,2.4,MLr_1,"Istmina - Choco, Colombia"
2026-08-15 10:08:36,4.403,-76.739,90.3,2.9,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-15 10:12:33,4.388,-76.763,29.76,2.1,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-15 10:32:06,4.467,-76.699,48.02,2.4,MLr_1,"Istmina - Choco, Colombia"
2026-08-15 10:52:32,4.583,-76.723,39.93,2.4,MLr_1,"Medio San Juan (Andagoya) - Choco, Colombia"
2026-08-15 11:39:31,4.516,-76.592,78.85,2.0,MLr_1,"Sipi - Choco, Colombia"
2026-08-15 11:41:08,4.465,-76.71,42.71,2.5,MLr_1,"Istmina - Choco, Colombia"
2026-08-15 12:51:40,4.608,-76.654,41.44,2.5,MLr_1,"Sipi - Choco, Colombia"
2026-08-15 13:18:54,4.499,-76.718,39.7,2.0,MLr_1,"Istmina - Choco, Colombia"
2026-08-15 17:36:20,4.379,-76.712,46.52,2.8,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-15 17:55:09,4.539,-76.655,43.4,2.9,MLr_1,"Sipi - Choco, Colombia"
2026-08-15 18:00:46,4.298,-76.709,47.33,2.3,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-15 20:38:59,4.82,-76.396,84.06,2.3,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-15 20:48:24,4.433,-76.639,50.27,2.0,MLr_1,"Sipi - Choco, Colombia"
2026-08-15 21:36:45,4.475,-76.688,43.17,2.4,MLr_1,"Istmina - Choco, Colombia"
2026-08-16 01:11:30,4.507,-76.648,39.93,2.4,MLr_1,"Sipi - Choco, Colombia"
